combination,trials_ok
"909.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 18/20"
"909.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 17/20"
"909.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 4/20"
"909.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 17/19"
"909.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 15/16"
"910.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 3/20"
"910.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 3/20"
"910.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 15/20"
"910.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 8/20"
"910.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 16/20"
"910.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 18/20"
"910.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 15/20"
"910.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 19/20"
"910.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"910.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 19/20"
"910.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 18/19"
"910.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 0/15"
"910.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 10/20"
"910.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"910.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"910.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 2/20"
"910.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 19/20"
"910.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 16/20"
"910.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 16/20"
"910.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 19/20"
"910.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"910.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 18/20"
"910.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 16/19"
"910.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 17/18"
"911.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"911.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"911.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"911.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/19"
"911.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 15/20"
"911.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 8/20"
"911.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 19/20"
"911.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 3/20"
"911.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 19/20"
"911.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 10/19"
"911.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 18/19"
"911.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 17/17"
"911.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/19"
"911.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"911.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"911.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"911.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 2/20"
"911.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"911.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 11/20"
"911.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 9/20"
"911.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 16/20"
"911.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 9/20"
"911.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 15/19"
"911.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 17/19"
"912.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"912.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"912.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"912.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"912.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"912.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"912.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 2/20"
"912.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 9/17"
"912.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 6/20"
"912.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 10/18"
"912.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 9/16"
"912.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 7/10"
"912.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"912.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"912.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 10/20"
"912.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 5/20"
"912.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 14/20"
"912.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 17/20"
"912.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"912.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 18/20"
"912.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 17/20"
"912.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 19/20"
"912.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 16/19"
"912.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 17/18"
"913.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 3/20"
"913.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"913.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 17/20"
"913.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 3/20"
"913.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 13/20"
"913.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 17/20"
"913.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 20/20"
"913.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 3/20"
"913.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"913.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 16/20"
"913.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 18/19"
