combination,trials_ok
"923.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 5/40"
"923.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 2/40"
"923.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 19/40"
"923.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 12/40"
"926.600 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 26/40"
"926.600 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 35/39"
"926.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 36/40"
"926.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 39/40"
"926.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 31/40"
"926.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 29/40"
"926.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 33/40"
"926.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 40/40"
"926.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 38/40"
"926.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 33/40"
"926.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 39/40"
"926.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 33/40"
"926.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 39/40"
"926.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 32/40"
"926.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 37/40"
"926.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 39/40"
"927.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 38/40"
"927.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 32/40"
"927.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 39/40"
"927.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 36/40"
"927.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 34/40"
"927.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 4/40"
"927.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 40/40"
"927.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 38/40"
"927.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 14/40"
"927.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 16/40"
"927.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 36/40"
"927.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 38/40"
"927.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 30/40"
"927.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 30/40"
"927.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 39/40"
"927.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 40/40"
"927.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 21/40"
"927.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 16/40"
"927.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 37/40"
"927.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 37/40"
